iter	Logloss
0	0.6803655821
1	0.6690108202
2	0.6588305383
3	0.6497535401
4	0.6416095751
5	0.63460403
6	0.6280658945
7	0.6224054811
8	0.6174166716
9	0.6130272897
10	0.6091745424
11	0.6052142984
12	0.6020827463
13	0.5990925303
14	0.596232427
15	0.5937094353
16	0.591528148
17	0.5896749684
18	0.5877273767
19	0.5856584237
20	0.5838309274
21	0.5822475888
22	0.5807863275
23	0.5793663233
24	0.5780753828
25	0.5767111544
26	0.5754512673
27	0.5743816424
28	0.5734181929
29	0.572431341
30	0.5714760821
31	0.570537532
32	0.5697612977
33	0.5688938882
34	0.5681682224
35	0.5673639192
36	0.5667283681
37	0.5659921145
38	0.5653339926
39	0.5646705837
40	0.564090665
41	0.5634298799
42	0.5628565282
43	0.5622061655
44	0.5616507357
45	0.5610957614
46	0.5606482311
47	0.5601936329
48	0.5597374763
49	0.5592574113
50	0.5587617057
51	0.5583635209
52	0.5579448266
53	0.5574857687
54	0.5571041064
55	0.5567017426
56	0.5563163282
57	0.5559023718
58	0.555552289
59	0.5551662994
60	0.5548269282
61	0.5544582081
62	0.5541485937
63	0.5538239127
64	0.5535377946
65	0.55320893
66	0.5529924815
67	0.5527289703
68	0.5524153875
69	0.5521549691
70	0.5518576075
71	0.5515189851
72	0.5512893992
73	0.5510241496
74	0.550806648
75	0.5505406994
76	0.5503544268
77	0.5501336321
78	0.5499402388
79	0.5497128892
80	0.5494171993
81	0.5491917956
82	0.5490119956
83	0.5488426485
84	0.5486145683
85	0.5483707572
86	0.5481431344
87	0.5479437837
88	0.5477568455
89	0.5474968641
90	0.5473157921
91	0.5471082349
92	0.5469274723
93	0.5466701976
94	0.5464655895
95	0.5462583026
96	0.5460841289
97	0.5459022793
98	0.5457250035
99	0.5455675172
100	0.5453633325
101	0.5451375116
102	0.5449711334
103	0.5447683256
104	0.5446168833
105	0.5444595041
106	0.5443485323
107	0.5442065839
108	0.5440327539
109	0.5438432415
110	0.5436766369
111	0.5435183824
112	0.5433828184
113	0.5432655338
114	0.5430907567
115	0.542942046
116	0.542795804
117	0.5426739276
118	0.5425474923
119	0.5423541862
120	0.54219076
121	0.5420598679
122	0.5419108994
123	0.5417703411
124	0.5416149146
125	0.5415151517
126	0.5413762059
127	0.5412086252
128	0.5410748211
129	0.5409858538
130	0.5408664828
131	0.5407666251
132	0.54067435
133	0.5405899309
134	0.5404890252
135	0.5403942866
136	0.5402200964
137	0.5401122002
138	0.5399886837
139	0.5399054868
140	0.5398058443
141	0.5396693226
142	0.539531866
143	0.5394316028
144	0.5393542945
145	0.5392512794
146	0.5391526512
147	0.539021994
148	0.5389073342
149	0.5387447325
150	0.5386342815
151	0.5385173614
152	0.5383976341
153	0.5382861415
154	0.5381921011
155	0.5380988528
156	0.5380140664
157	0.5378997046
158	0.537837563
159	0.5376631256
160	0.5374995885
161	0.537369721
162	0.5372570375
163	0.5371644465
164	0.537068374
165	0.5369825331
166	0.5368223724
167	0.536707605
168	0.5366011661
169	0.5365107426
170	0.5363967974
171	0.5362344973
172	0.5361176012
173	0.5360008942
174	0.5359099281
175	0.5358211185
176	0.5357293285
177	0.5356087707
178	0.5355312373
179	0.5353730804
180	0.5352788629
181	0.5351485977
182	0.5350539838
183	0.5349510061
184	0.5348492568
185	0.5347872968
186	0.5346637645
187	0.534575286
188	0.5344824485
189	0.5343641697
190	0.5342305787
191	0.5340937762
192	0.5339880819
193	0.5338920946
194	0.5337870046
195	0.5336930887
196	0.5335721724
197	0.5334521122
198	0.5333275075
199	0.5331752406
200	0.5330439524
201	0.5329380167
202	0.5328153885
203	0.5326939284
204	0.5325752566
205	0.532416804
206	0.5323027547
207	0.5322135075
208	0.5320765332
209	0.5320002347
210	0.531873838
211	0.5317393242
212	0.5316022364
213	0.5315198087
214	0.5313672028
215	0.5312727755
216	0.53115307
217	0.5310555019
218	0.5309178821
219	0.5308458538
220	0.5307398153
221	0.5306272652
222	0.5304612708
223	0.5303280261
224	0.5301939195
225	0.5300818931
226	0.5299916447
227	0.5298413146
228	0.5297678033
229	0.5296098026
230	0.5294816084
231	0.529314917
232	0.529204337
233	0.5290878655
234	0.5289966209
235	0.5288600713
236	0.5287567598
237	0.5286776509
238	0.5285406903
239	0.5283988822
240	0.5282675574
241	0.5281352285
242	0.5280230927
243	0.5279252389
244	0.5278186245
245	0.5277091875
246	0.5275849158
247	0.5274823395
248	0.5274136138
249	0.5272673056
250	0.5271525301
251	0.5270424233
252	0.5269329772
253	0.526832415
254	0.5267058344
255	0.5265919009
256	0.5264847606
257	0.5263696525
258	0.5262661044
259	0.5261519176
260	0.5260361344
261	0.5259087738
262	0.525768976
263	0.525669182
264	0.525529424
265	0.5254219286
266	0.5253320785
267	0.5252337534
268	0.5251224938
269	0.5250367939
270	0.5249116689
271	0.5247865077
272	0.5246641036
273	0.5245431591
274	0.5244454955
275	0.5243586329
276	0.5242533709
277	0.5241511278
278	0.524049192
279	0.5239451746
280	0.5238293782
281	0.5237487733
282	0.5236796981
283	0.5235971707
284	0.523489676
285	0.5233936332
286	0.5232901774
287	0.5232137884
288	0.5231249758
289	0.5230520611
