iter	Passed	Remaining
0	198	198030
1	225	112720
2	266	88661
3	301	75136
4	321	64036
5	339	56271
6	365	51869
7	390	48378
8	410	45175
9	428	42464
10	445	40089
11	477	39335
12	501	38113
13	521	36729
14	539	35429
15	557	34302
16	590	34142
17	612	33393
18	630	32540
19	646	31696
20	663	30941
21	691	30719
22	713	30324
23	733	29847
24	750	29261
25	768	28791
26	798	28766
27	820	28476
28	840	28134
29	856	27691
30	878	27456
31	906	27415
32	928	27220
33	943	26792
34	959	26450
35	979	26241
36	1005	26173
37	1029	26054
38	1047	25812
39	1061	25483
40	1083	25336
41	1106	25247
42	1132	25199
43	1150	25000
44	1165	24741
45	1188	24642
46	1216	24674
47	1239	24574
48	1256	24387
49	1272	24170
50	1295	24107
51	1333	24303
52	1364	24386
53	1457	25529
54	1492	25639
55	1616	27249
56	1685	27883
57	1706	27723
58	1766	28174
59	2052	32157
60	2086	32113
61	2105	31857
62	2124	31592
63	2140	31307
64	2167	31172
65	2190	30996
66	2215	30851
67	2235	30642
68	2253	30408
69	2279	30282
70	2302	30133
71	2323	29953
72	2340	29724
73	2356	29491
74	2377	29320
75	2400	29180
76	2421	29025
77	2439	28839
78	2456	28639
79	2485	28586
80	2509	28475
81	2533	28357
82	2550	28174
83	2566	27982
84	2586	27840
85	2613	27770
86	2633	27641
87	2655	27518
88	2673	27365
89	2693	27233
90	2717	27143
91	2737	27017
92	2757	26888
93	2773	26734
94	2795	26633
95	2820	26558
96	2841	26447
97	2859	26318
98	2875	26165
99	2890	26016
100	2915	25948
101	2937	25865
102	2956	25748
103	2972	25608
104	2987	25464
105	3011	25401
106	3033	25315
107	3054	25226
108	3071	25110
109	3088	24989
110	3112	24929
111	3135	24861
112	3154	24763
113	3171	24652
114	3188	24538
115	3233	24641
116	3343	25231
117	3440	25716
118	3521	26067
119	3639	26686
120	3756	27285
121	3795	27314
122	3829	27307
123	3857	27252
124	3885	27196
125	3906	27097
126	3929	27012
127	3952	26927
128	3970	26811
129	3988	26689
130	4009	26598
131	4032	26516
132	4050	26407
133	4066	26281
134	4083	26167
135	4099	26042
136	4120	25957
137	4136	25841
138	4152	25722
139	4171	25624
140	4190	25526
141	4210	25441
142	4227	25335
143	4242	25218
144	4265	25149
145	4289	25090
146	4310	25013
147	4328	24920
148	4344	24810
149	4368	24754
150	4390	24685
151	4407	24591
152	4423	24489
153	4438	24384
154	4465	24342
155	4487	24278
156	4507	24204
157	4525	24117
158	4539	24009
159	4560	23940
160	4594	23945
161	4611	23856
162	4628	23768
163	4650	23705
164	4675	23660
165	4698	23604
166	4714	23516
167	4733	23440
168	4756	23388
169	4776	23322
170	4797	23260
171	4814	23176
172	4829	23087
173	4852	23033
174	4876	22991
175	4898	22934
176	4913	22847
177	4929	22764
178	4951	22711
179	4976	22670
180	4995	22604
181	5014	22539
182	5032	22466
183	5053	22410
184	5136	22626
185	5240	22932
186	5282	22967
187	5470	23625
188	5508	23635
189	5669	24168
190	5795	24548
191	5844	24596
192	5889	24625
193	5932	24648
194	5955	24583
195	5980	24533
196	6008	24490
197	6029	24424
198	6050	24354
199	6068	24275
200	6092	24219
201	6135	24238
202	6181	24267
203	6229	24308
204	6270	24317
205	6319	24357
206	6345	24310
207	6364	24232
208	6386	24169
209	6407	24105
210	6427	24032
211	6444	23953
212	6462	23877
213	6483	23814
214	6511	23775
215	6533	23713
216	6554	23651
217	6574	23583
218	6609	23572
219	6637	23533
220	6659	23473
221	6679	23406
222	6707	23372
223	6730	23316
224	6753	23261
225	6773	23196
226	6790	23125
227	6818	23086
228	6845	23046
229	6870	23002
230	6889	22935
231	6918	22901
232	6941	22850
233	6967	22809
234	6989	22751
235	7016	22714
236	7118	22915
237	7157	22914
238	7239	23050
239	7272	23030
240	7422	23375
241	7477	23420
242	7665	23879
243	7757	24034
244	7805	24052
245	7847	24052
246	7867	23984
247	7891	23929
248	7910	23859
249	7935	23805
250	7954	23736
251	7975	23673
252	7999	23618
253	8017	23547
254	8041	23493
255	8060	23425
256	8082	23365
257	8105	23312
258	8127	23252
259	8147	23188
260	8166	23121
261	8191	23073
262	8212	23013
263	8232	22951
264	8250	22883
265	8270	22821
266	8299	22783
267	8317	22718
268	8339	22661
269	8358	22598
270	8382	22549
271	8416	22526
272	8441	22479
273	8460	22416
274	8479	22354
275	8509	22321
276	8527	22257
277	8544	22190
278	8558	22117
279	8583	22072
280	8603	22014
281	8618	21944
282	8634	21877
283	8648	21802
284	8665	21739
285	8690	21696
286	8706	21628
287	8720	21559
288	8734	21489
289	8748	21417
290	8768	21363
291	8789	21311
292	8804	21244
293	8817	21175
294	8831	21105
295	8853	21056
296	8872	21000
297	8892	20948
298	8906	20880
299	8919	20813
300	8953	20792
301	9030	20871
302	9108	20953
303	9133	20910
304	9273	21131
305	9340	21184
306	9465	21367
307	9592	21550
308	9674	21635
309	9734	21666
310	9767	21639
311	9812	21637
312	9848	21616
313	9872	21569
314	9925	21584
315	9980	21603
316	10020	21589
317	10059	21573
318	10079	21518
319	10102	21467
320	10130	21428
321	10160	21393
322	10189	21357
323	10218	21319
324	10252	21293
325	10275	21243
326	10297	21192
327	10315	21134
328	10346	21101
329	10378	21072
330	10399	21019
331	10419	20964
332	10449	20930
333	10486	20910
334	10504	20851
335	10524	20797
